listing_id,title,district,monthly_rent,area_sqm,commute_minutes,metro_distance_m,rental_type,bedrooms,decoration_score,community_score,safety_score,has_elevator,deposit_months,agency_fee,short_description
R001,晨光合租次卧,新城东区,1800,18,62,350,shared,3,3,3,4,1,1,0,低租金近地铁但通勤较长
R002,青禾合租主卧,大学城,2100,24,48,500,shared,3,3,4,4,1,1,500,面积适中社区安静
R003,梧桐青年房,滨江北,2300,20,35,850,shared,4,4,3,4,0,1,0,装修较新但楼梯房
R004,云栖合租房,科创园,2500,27,25,1200,shared,3,3,4,5,1,1,800,通勤较短但离地铁较远
R005,星河阳台房,老城南,1950,22,55,680,shared,4,2,3,3,0,2,0,带阳台但设施普通
R006,悦邻合租房,新城西区,2700,30,32,1600,shared,3,4,5,4,1,1,1000,社区较好但地铁较远
R007,书香次卧,大学城,1850,16,45,260,shared,4,2,4,4,0,1,0,地铁便利面积较小
R008,清风主卧,滨江南,2900,32,28,900,shared,3,4,4,4,1,2,0,面积较大租金偏高
R009,松林合租房,生态新区,2200,26,65,2100,shared,3,3,5,5,1,1,0,环境安全但通勤较长
R010,城际青年房,交通枢纽,2600,19,18,300,shared,4,4,2,3,1,1,1200,通勤短但空间紧凑
R011,暖阳合租房,老城北,2050,25,50,1100,shared,3,2,3,4,0,1,300,价格友好设施朴素
R012,湖畔主卧,生态新区,3100,35,58,1900,shared,3,5,5,5,1,2,0,景观和装修好但远离地铁
R013,米白独立单间,大学城,2800,20,42,420,studio,1,4,3,4,1,1,800,独立空间近地铁
R014,微光单间,新城东区,3000,23,36,750,studio,1,3,4,4,1,1,0,配置均衡
R015,中央小筑,中心城区,3800,18,12,240,studio,1,5,3,4,1,2,1500,位置优越但面积小租金高
R016,江景单间,滨江北,3600,28,27,1300,studio,1,5,5,4,1,2,0,江景装修好但地铁稍远
R017,青柠单间,老城南,2600,19,47,580,studio,1,2,3,3,0,1,500,租金较低但装修普通
R018,智谷单间,科创园,3400,25,20,450,studio,1,4,4,5,1,1,1000,通勤便利安全性高
R019,远山单间,生态新区,2400,30,68,2300,studio,1,3,5,5,1,1,0,面积大环境好但通勤远
R020,橙光单间,交通枢纽,3300,21,16,320,studio,1,3,2,3,1,1,1200,交通方便但社区一般
R021,白桦单间,新城西区,2950,26,38,980,studio,1,4,4,4,1,1,600,综合条件平衡
R022,旧城阁楼,老城北,2500,24,52,1400,studio,1,2,3,4,0,1,0,价格适中但无电梯
R023,校园邻里单间,大学城,3150,22,33,200,studio,1,4,4,4,1,2,800,近地铁生活便利
R024,绿岸单间,滨江南,3500,31,30,1750,studio,1,4,5,5,1,2,0,空间宽敞但地铁较远
R025,安居一居室,新城东区,3900,38,40,800,whole,1,3,4,5,1,2,1000,整租宽敞安全
R026,学府一居室,大学城,4200,35,30,360,whole,1,4,4,4,1,2,1500,配套成熟租金较高
R027,滨水一居室,滨江北,4600,48,25,1500,whole,1,5,5,4,1,2,0,面积装修突出但价格高
R028,中心袖珍整租,中心城区,4400,26,10,220,whole,1,4,3,4,1,2,1800,通勤极短但面积有限
R029,南城老公寓,老城南,3200,42,50,950,whole,2,2,3,3,0,1,500,面积大但楼龄和装修一般
R030,智创一居室,科创园,4300,40,18,600,whole,1,5,4,5,1,2,1200,通勤短品质高但租金高
R031,林间两居室,生态新区,3700,58,70,2450,whole,2,3,5,5,1,1,0,空间和环境好但交通不便
R032,枢纽一居室,交通枢纽,4100,34,14,280,whole,1,3,2,3,1,2,1600,交通便利社区评分一般
R033,西城整租房,新城西区,3500,45,43,1350,whole,2,3,4,4,1,1,900,面积较大综合适中
R034,北城简装两居,老城北,3000,50,57,1800,whole,2,2,3,4,0,1,0,低价大户型但通勤较长
R035,滨江精装整租,滨江南,4900,46,22,720,whole,1,5,5,5,1,2,2000,品质较高但成本最高
R036,花园一居室,新城东区,4000,37,34,1050,whole,1,4,5,5,1,2,800,社区安全较好地铁一般
